Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
375,12.458,-0.52,1.44,-0.3,10.08,0,11.25
376,12.491,-0.47,1.15,-0.32,10.25,0,10.96
377,12.525,-0.45,0.92,-0.33,10.51,0,10.73
378,12.558,-0.42,0.94,-0.35,10.77,0,10.75
379,12.591,-0.38,0.73,-0.36,11.06,0,10.54
380,12.624,-0.36,0.08,-0.37,11.28,0,9.89
381,12.658,-0.38,-0.45,-0.38,11.4,0,9.36
382,12.691,-0.41,-0.3,-0.4,11.5,0,9.51
383,12.724,-0.41,0.36,-0.41,11.5,0,10.17
384,12.758,-0.38,0.9,-0.42,11.53,0,10.71
385,12.791,-0.34,0.93,-0.44,11.62,0,10.74
386,12.824,-0.31,0.68,-0.45,11.65,0,10.49
387,12.858,-0.3,0.59,-0.46,11.59,0,10.4
388,12.891,-0.28,0.69,-0.47,11.55,0,10.5
389,12.924,-0.25,0.68,-0.47,11.49,0,10.49
390,12.957,-0.23,0.68,-0.48,11.41,0,10.49
391,12.991,-0.21,1.26,-0.49,11.23,0,11.07
392,13.024,-0.16,2.57,-0.5,10.87,0,12.38
393,13.057,-0.05,4.21,-0.5,10.61,0,14.02
394,13.091,0.12,5.93,-0.5,10.47,1.91,15.74
395,13.124,0.35,7.36,-0.49,10.2,6.02,17.17
396,13.157,0.63,7.66,-0.48,9.87,11.01,17.47
397,13.191,0.89,6.55,-0.45,9.66,14.61,16.36
398,13.224,1.08,4.82,-0.42,9.47,15.82,14.63
399,13.257,1.2,3.63,-0.38,9.2,16.11,13.44
400,13.291,1.3,3.34,-0.34,8.66,17.11,13.15
401,13.324,1.42,3.28,-0.29,7.92,18.58,13.09
402,13.357,1.53,2.75,-0.24,7.35,19.23,12.56
403,13.39,1.61,1.89,-0.19,6.96,18.81,11.7
404,13.424,1.65,1,-0.13,6.46,17.89,10.81
405,13.457,1.68,-0.04,-0.08,5.92,16.39,9.77
406,13.49,1.66,-1.5,-0.02,5.47,13.79,8.31
407,13.524,1.59,-3.39,0.03,4.89,10.18,6.42
408,13.557,1.44,-5.31,0.08,4.24,6.46,4.5
409,13.59,1.22,-6.63,0.13,3.67,3.88,3.18
410,13.624,0.98,-7.09,0.17,3.18,2.66,2.72
411,13.657,0.73,-6.69,0.19,2.67,2.29,3.12
412,13.69,0.52,-5.45,0.21,2.25,2.25,4.36
413,13.724,0.36,-3.9,0.23,2.02,2.14,5.91
414,13.757,0.27,-2.81,0.24,2.03,1.87,7
415,13.79,0.19,-2.33,0.25,2.14,1.42,7.48
416,13.823,0.11,-1.97,0.25,2.17,0.89,7.84
417,13.857,0.05,-1.4,0.25,2.25,0.44,8.41
418,13.89,0.02,-0.78,0.25,2.4,0.17,9.03
419,13.923,0.01,-0.33,0.25,2.64,0.05,9.48
420,13.957,0,-0.06,0.25,2.96,0,9.75
421,13.99,0,0.22,0.25,3.28,0,10.03
422,14.023,0.01,0.55,0.25,3.53,0.12,10.36
423,14.057,0.04,0.64,0.25,3.86,0.42,10.45
424,14.09,0.07,0.21,0.26,4.25,0.67,10.02
425,14.123,0.06,-0.52,0.26,4.53,0.57,9.29
426,14.157,0.02,-0.96,0.26,4.78,0.21,8.85
427,14.19,-0.01,-0.87,0.26,5.15,0,8.94
428,14.223,-0.04,-0.54,0.26,5.55,0,9.27
429,14.256,-0.05,-0.31,0.26,5.79,0,9.5
430,14.29,-0.05,-0.29,0.26,6.07,0,9.52
431,14.323,-0.07,-0.36,0.25,6.39,0,9.45
432,14.356,-0.08,-0.32,0.25,6.62,0,9.49
433,14.39,-0.09,-0.23,0.25,0,0,9.58
434,14.423,-0.09,-0.32,0.25,0.11,0,9.49
435,14.456,-0.1,-0.86,0.24,0.27,0,8.95
436,14.49,-0.14,-1.77,0.24,0.47,0,8.04
437,14.523,-0.22,-2.56,0.23,0.61,0,7.25
438,14.556,-0.32,-2.81,0.23,0.6,0,7
439,14.589,-0.42,-2.67,0.21,0.59,0,7.14
440,14.623,-0.5,-2.44,0.2,0.75,0,7.37
441,14.656,-0.58,-2.08,0.18,1.09,0,7.73
442,14.689,-0.64,-1.48,0.16,1.48,0,8.33
443,14.723,-0.68,-0.75,0.14,1.94,0,9.06
444,14.756,-0.69,-0.09,0.11,2.4,0,9.72
445,14.789,-0.68,0.31,0.09,2.82,0,10.12
446,14.823,-0.66,0.37,0.07,3.22,0,10.18
447,14.856,-0.66,0.4,0.05,3.69,0,10.21
448,14.889,-0.64,0.5,0.02,4.06,0,10.31
449,14.923,-0.62,0.39,0,4.34,0,10.2
450,14.956,-0.61,0.04,-0.02,4.7,0,9.85
451,14.989,-0.62,-0.16,-0.04,5.3,0,9.65
452,15.022,-0.63,0.02,-0.06,5.87,0,9.83
453,15.056,-0.62,0.4,-0.08,6.34,0,10.21
454,15.089,-0.6,0.63,-0.1,6.74,0,10.44
455,15.122,-0.57,0.51,-0.12,7.17,0,10.32
